277,1,143825
278,1,270000
279,1,96250
280,1,137750
281,1,328000
282,1,574000
283,1,813400
284,1,96250
285,1,17120
286,1,666360
287,1,390550
288,1,983900
289,1,124205
290,1,381820
291,1,341900
292,1,225900
293,1,177010
294,1,741180
295,1,267750
296,1,66800
297,1,556570
298,1,2400
299,1,279410
300,1,52290
301,1,6600
302,1,16150
303,1,830250
304,1,128250
305,1,221195
306,1,77900
307,1,16630
308,1,13300
309,1,116460
310,1,373010
311,1,68400
312,1,230010
313,1,81630
314,1,193050
315,1,38550
316,1,34370
317,1,23700
318,1,140260
319,1,10960
320,1,556470
321,1,986750
322,1,27900
323,1,41250
324,1,25300
325,1,6410
326,1,10
327,1,5500
328,1,101400
329,1,72325
330,1,83700
331,1,626750
332,1,68250
333,1,839520
334,1,134400
335,1,7700
336,1,16410
337,1,28810
338,1,25880
339,1,227400
340,1,665200
341,1,56570
342,1,269520
343,1,13580
344,1,102750
345,1,32310
346,1,748160
347,1,266500
348,1,177260
349,1,537500
350,1,7080
351,1,31420
352,1,155450
353,1,538000
354,1,209600
355,1,217550
356,1,265645
357,1,259210
358,1,153910
359,1,942550
360,1,285000
361,1,184000
362,1,704250
363,1,252860
364,1,204300
365,1,123440
366,1,170250
367,1,26350
368,1,165750
369,1,67140
370,1,110600
371,1,69000
372,1,86100
373,1,238040
374,1,62310
375,1,117325
376,1,99900
377,1,84040
378,1,330010
379,1,41200
380,1,36040
381,1,90720
382,1,68060
383,1,45460
384,1,103880
385,1,65450
386,1,53550
387,1,3000
388,1,150010
389,1,136825
390,1,36000
391,1,432900
392,1,179375
393,1,65400
394,1,162825
395,1,162000
396,1,374520
397,1,32300
398,1,13740
399,1,41160
400,1,103620
401,1,21500
402,1,18700
403,1,51900
404,1,110400
405,1,186760
406,1,34650
407,1,67350
408,1,112600
409,1,11250
410,1,185400
411,1,199200
412,1,14560
413,1,161350
414,1,35200
415,1,121000
416,1,12360
417,1,59925
418,1,158400
419,1,67800
420,1,174250
421,1,190500
422,1,47700
423,1,125145
424,1,150150
425,1,8300
426,1,89310
427,1,172580
428,1,55960
429,1,66000
430,1,135710
